pdb_code,filename,gradock,molPDF
1A1N.pdb,pMHC_110.pdb,136389.359,323.95587158203125
1A1N.pdb,pMHC_124.pdb,136511.969,322.7592468261719
1A1N.pdb,pMHC_128.pdb,137150.141,323.58160400390625
1A1N.pdb,pMHC_139.pdb,136284.547,323.4330139160156
1A1N.pdb,pMHC_148.pdb,136215.203,323.2372741699219
1A1N.pdb,pMHC_013.pdb,136462.641,322.8757629394531
1A1N.pdb,pMHC_106.pdb,135993.656,323.21209716796875
1A1N.pdb,pMHC_006.pdb,136476.328,322.91229248046875
1A1N.pdb,pMHC_105.pdb,136013.391,323.9693298339844
1A1N.pdb,pMHC_145.pdb,136491.75,322.91448974609375
1A1N.pdb,pMHC_103.pdb,135966.016,323.3541259765625
1A1N.pdb,pMHC_141.pdb,136454.719,322.69464111328125
1A1N.pdb,pMHC_100.pdb,135927.203,323.33782958984375
1A1N.pdb,pMHC_136.pdb,136168.219,322.866943359375
1A1N.pdb,pMHC_025.pdb,136333.547,322.6519470214844
1A1N.pdb,pMHC_138.pdb,136113.562,322.65106201171875
1A1N.pdb,pMHC_129.pdb,136166.391,323.3099365234375
1A1N.pdb,pMHC_120.pdb,136287.953,323.15570068359375
1A1N.pdb,pMHC_143.pdb,136073.609,322.5593566894531
1A1N.pdb,pMHC_135.pdb,136075.828,322.9855041503906
1A1N.pdb,pMHC_112.pdb,136267.906,323.0996398925781
1A1N.pdb,pMHC_147.pdb,136422.875,323.5404357910156
1A1N.pdb,pMHC_127.pdb,136393.922,323.061767578125
1A1N.pdb,pMHC_001.pdb,136488.516,322.8907470703125
1A1N.pdb,pMHC_118.pdb,136484.844,323.4045715332031
1A1N.pdb,pMHC_134.pdb,135669.219,323.5544128417969
1A1N.pdb,pMHC_005.pdb,136566.719,322.6458435058594
1A1N.pdb,pMHC_123.pdb,136219.75,322.98919677734375
1A1N.pdb,pMHC_116.pdb,136290.719,323.2497863769531
1A1N.pdb,pMHC_002.pdb,136475.828,323.0498352050781
1A1N.pdb,pMHC_119.pdb,137013.75,323.2351989746094
1A1N.pdb,pMHC_130.pdb,136365.172,322.86041259765625
1A1N.pdb,pMHC_121.pdb,136458.391,323.279052734375
1A1N.pdb,pMHC_109.pdb,135889.906,323.2814636230469
1A1N.pdb,pMHC_000.pdb,136653.906,322.92083740234375
1A1N.pdb,pMHC_009.pdb,136476.609,322.73736572265625
1A1N.pdb,pMHC_113.pdb,136381.828,322.9924621582031
1A1N.pdb,pMHC_111.pdb,136266.0,323.15789794921875
1A1N.pdb,pMHC_149.pdb,135693.969,323.1778564453125
1A1N.pdb,pMHC_003.pdb,136560.75,322.82366943359375
1A1N.pdb,pMHC_131.pdb,136416.391,323.271728515625
1A1N.pdb,pMHC_140.pdb,136322.719,323.4670104980469
1A1N.pdb,pMHC_104.pdb,135915.75,323.2023010253906
1A1N.pdb,pMHC_114.pdb,136153.781,322.81512451171875
1A1N.pdb,pMHC_133.pdb,136252.953,323.0646057128906
1A1N.pdb,pMHC_015.pdb,136112.5,322.4609069824219
1A1O.pdb,pMHC_0084.pdb,134360.297,322.7652587890625
1A1O.pdb,pMHC_0092.pdb,136206.156,322.8647766113281
1A1O.pdb,pMHC_0050.pdb,135040.062,322.78338623046875
1A1O.pdb,pMHC_0019.pdb,134921.734,322.2628479003906
1A1O.pdb,pMHC_0091.pdb,136049.688,323.1571044921875
1A1O.pdb,pMHC_0016.pdb,134772.141,322.43359375
1A1O.pdb,pMHC_0018.pdb,134893.219,322.608154296875
1A1O.pdb,pMHC_0045.pdb,135027.203,323.0128479003906
1A1O.pdb,pMHC_0000.pdb,134848.531,322.9776306152344
1A1O.pdb,pMHC_0094.pdb,135371.203,323.0240173339844
1A1O.pdb,pMHC_0042.pdb,135881.453,324.2528381347656
1A1O.pdb,pMHC_0037.pdb,134896.438,323.5899353027344
1A1O.pdb,pMHC_0022.pdb,134591.969,322.8536682128906
1A1O.pdb,pMHC_0065.pdb,135467.906,323.6775207519531
1A1O.pdb,pMHC_0096.pdb,135841.484,324.1394348144531
1A1O.pdb,pMHC_0004.pdb,134860.594,322.3127746582031
1A1O.pdb,pMHC_0013.pdb,135053.047,322.46893310546875
1A1O.pdb,pMHC_0023.pdb,135039.016,323.998779296875
1A1O.pdb,pMHC_0026.pdb,135064.891,322.8300476074219
1A1O.pdb,pMHC_0035.pdb,134860.953,324.00616455078125
1A1O.pdb,pMHC_0008.pdb,135017.859,322.7380676269531
1A1O.pdb,pMHC_0011.pdb,134984.203,322.73968505859375
1A1O.pdb,pMHC_0054.pdb,130584.125,316.46160888671875
1A1O.pdb,pMHC_0025.pdb,135403.266,323.9502868652344
1A1O.pdb,pMHC_0002.pdb,134907.547,322.3379211425781
1A1O.pdb,pMHC_0081.pdb,135984.094,323.0458068847656
1A1O.pdb,pMHC_0075.pdb,135621.781,322.9096984863281
1A1O.pdb,pMHC_0033.pdb,134976.844,322.17242431640625
1A1O.pdb,pMHC_0097.pdb,134855.984,323.67266845703125
1A1O.pdb,pMHC_0057.pdb,135062.375,322.59881591796875
1A1O.pdb,pMHC_0036.pdb,135277.672,323.67041015625
1A1O.pdb,pMHC_0010.pdb,134968.641,322.7970275878906
1A1O.pdb,pMHC_0003.pdb,135028.109,322.6277160644531
1A1O.pdb,pMHC_0006.pdb,135053.5,322.7392272949219
1A1O.pdb,pMHC_0032.pdb,0.0,322.8849182128906
1A1O.pdb,pMHC_0043.pdb,135431.156,322.6197814941406
1A1O.pdb,pMHC_0059.pdb,135666.797,324.1302185058594
1A1O.pdb,pMHC_0014.pdb,134954.578,322.6175231933594
1A1O.pdb,pMHC_0086.pdb,134939.219,322.65716552734375
1A1O.pdb,pMHC_0093.pdb,134756.125,323.04791259765625
1A1O.pdb,pMHC_0060.pdb,135328.125,322.68896484375
1A1O.pdb,pMHC_0062.pdb,135327.391,324.3876953125
1A1O.pdb,pMHC_0061.pdb,135103.594,323.3246154785156
1A1O.pdb,pMHC_0038.pdb,135191.703,322.5972595214844
1A1O.pdb,pMHC_0072.pdb,135025.922,322.9041748046875
1A1O.pdb,pMHC_0053.pdb,135757.25,322.589111328125
1A1O.pdb,pMHC_0005.pdb,134809.5,322.79754638671875
1A1O.pdb,pMHC_0040.pdb,135771.5,323.97747802734375
1A1O.pdb,pMHC_0012.pdb,134870.438,322.6269226074219
1A1O.pdb,pMHC_0034.pdb,135050.484,322.73065185546875
1A1O.pdb,pMHC_0031.pdb,135253.453,322.76531982421875
1A1O.pdb,pMHC_0095.pdb,135159.25,323.5067443847656
1A1O.pdb,pMHC_0078.pdb,135659.203,323.08099365234375
1A1O.pdb,pMHC_0051.pdb,135105.391,324.6174621582031
1A1O.pdb,pMHC_0067.pdb,136901.953,332.5957336425781
1A1O.pdb,pMHC_0001.pdb,135082.406,322.5085144042969
1A1O.pdb,pMHC_0080.pdb,135036.656,322.9344177246094
1A1O.pdb,pMHC_0015.pdb,135003.812,322.6654968261719
1A1O.pdb,pMHC_0020.pdb,135730.453,323.01483154296875
1A1O.pdb,pMHC_0071.pdb,135550.188,322.79461669921875
1A1O.pdb,pMHC_0027.pdb,135450.125,324.024658203125
1A1O.pdb,pMHC_0090.pdb,134592.984,324.6912841796875
1A1O.pdb,pMHC_0085.pdb,134758.891,324.1291198730469
1A1O.pdb,pMHC_0021.pdb,135291.297,323.65240478515625
1A1O.pdb,pMHC_0099.pdb,135507.703,322.72222900390625
1A1O.pdb,pMHC_0017.pdb,134894.297,322.5811767578125
1A1O.pdb,pMHC_0047.pdb,135286.281,324.14862060546875
1A1O.pdb,pMHC_0009.pdb,135032.484,322.4052734375
1A1O.pdb,pMHC_0063.pdb,135760.734,322.7405090332031
1A1O.pdb,pMHC_0007.pdb,134973.562,322.4512023925781
1A1O.pdb,pMHC_0076.pdb,134990.922,322.66729736328125
1A1O.pdb,pMHC_0028.pdb,135561.562,323.7738952636719
1A9B.pdb,pMHC_0087.pdb,139909.172,320.2795104980469
1A9B.pdb,pMHC_0084.pdb,140920.281,320.2616882324219
1A9B.pdb,pMHC_0092.pdb,140471.703,319.8340148925781
1A9B.pdb,pMHC_0019.pdb,139494.984,319.98126220703125
1A9B.pdb,pMHC_0091.pdb,139107.641,319.4036560058594
1A9B.pdb,pMHC_0016.pdb,139475.719,319.92584228515625
1A9B.pdb,pMHC_0018.pdb,139483.969,319.8026123046875
1A9B.pdb,pMHC_0045.pdb,140540.688,319.868408203125
1A9B.pdb,pMHC_0089.pdb,139536.094,319.23504638671875
1A9B.pdb,pMHC_0029.pdb,140009.781,320.4061279296875
1A9B.pdb,pMHC_0082.pdb,139789.141,319.42010498046875
1A9B.pdb,pMHC_0000.pdb,139277.953,319.64898681640625
1A9B.pdb,pMHC_0094.pdb,139944.828,319.4488830566406
1A9B.pdb,pMHC_0042.pdb,139760.609,321.3805847167969
1A9B.pdb,pMHC_0037.pdb,139412.0,319.6781921386719
1A9B.pdb,pMHC_0022.pdb,145160.984,1070.32666015625
1A9B.pdb,pMHC_0065.pdb,139942.938,320.20037841796875
1A9B.pdb,pMHC_0096.pdb,139703.906,319.6225280761719
1A9B.pdb,pMHC_0073.pdb,140402.812,319.9698486328125
1A9B.pdb,pMHC_0004.pdb,139270.359,319.9220275878906
1A9B.pdb,pMHC_0013.pdb,139118.797,319.8371887207031
1A9B.pdb,pMHC_0069.pdb,139877.031,320.0580139160156
1A9B.pdb,pMHC_0023.pdb,139660.297,320.8096923828125
1A9B.pdb,pMHC_0026.pdb,140280.188,320.0740051269531
1A9B.pdb,pMHC_0035.pdb,139735.719,319.5906982421875
1A9B.pdb,pMHC_0008.pdb,139459.656,319.99517822265625
1A9B.pdb,pMHC_0011.pdb,139413.547,319.9102783203125
1A9B.pdb,pMHC_0054.pdb,140589.5,319.746337890625
1A9B.pdb,pMHC_0025.pdb,139429.094,319.9058532714844
1A9B.pdb,pMHC_0044.pdb,139881.5,320.3704833984375
1A9B.pdb,pMHC_0088.pdb,139998.672,320.3099365234375
1A9B.pdb,pMHC_0002.pdb,139512.516,320.02166748046875
1A9B.pdb,pMHC_0081.pdb,140463.453,320.12750244140625
1A9B.pdb,pMHC_0055.pdb,139660.516,319.4213562011719
1A9B.pdb,pMHC_0075.pdb,139324.906,319.3003845214844
1A9B.pdb,pMHC_0046.pdb,140088.078,320.4678955078125
1A9B.pdb,pMHC_0097.pdb,140375.406,319.6935119628906
1A9B.pdb,pMHC_0057.pdb,139450.109,319.4877014160156
1A9B.pdb,pMHC_0036.pdb,139408.984,320.9494934082031
1A9B.pdb,pMHC_0010.pdb,139369.891,319.886962890625
1A9B.pdb,pMHC_0064.pdb,139766.625,319.6510925292969
1A9B.pdb,pMHC_0074.pdb,139463.297,319.80096435546875
1A9B.pdb,pMHC_0003.pdb,144247.328,680.3977661132812
1A9B.pdb,pMHC_0048.pdb,140310.344,320.77777099609375
1A9B.pdb,pMHC_0070.pdb,140535.109,320.5303955078125
1A9B.pdb,pMHC_0006.pdb,139480.906,319.4994812011719
1A9B.pdb,pMHC_0052.pdb,140576.234,320.31964111328125
1A9B.pdb,pMHC_0032.pdb,140670.125,319.7093200683594
1A9B.pdb,pMHC_0043.pdb,140674.609,320.1993713378906
1A9B.pdb,pMHC_0059.pdb,139374.188,319.64544677734375
1A9B.pdb,pMHC_0014.pdb,139540.609,319.6152038574219
1A9B.pdb,pMHC_0086.pdb,139350.172,320.29974365234375
1A9B.pdb,pMHC_0093.pdb,139708.625,320.1558837890625
1A9B.pdb,pMHC_0060.pdb,139922.953,320.03851318359375
1A9B.pdb,pMHC_0098.pdb,140779.312,320.57073974609375
1A9B.pdb,pMHC_0083.pdb,139769.422,319.79071044921875
1A9B.pdb,pMHC_0056.pdb,139777.047,320.42181396484375
1A9B.pdb,pMHC_0077.pdb,139530.75,319.3174743652344
1A9B.pdb,pMHC_0061.pdb,139503.094,319.56439208984375
1A9B.pdb,pMHC_0038.pdb,139674.047,319.37457275390625
1A9B.pdb,pMHC_0072.pdb,139396.625,319.59161376953125
1A9B.pdb,pMHC_0053.pdb,140349.734,320.5865783691406
1A9B.pdb,pMHC_0005.pdb,139188.734,320.0569763183594
1A9B.pdb,pMHC_0040.pdb,139790.109,319.8391418457031
1A9B.pdb,pMHC_0012.pdb,139434.719,319.9081726074219
1A9B.pdb,pMHC_0034.pdb,139931.594,319.07049560546875
1A9B.pdb,pMHC_0031.pdb,140005.062,319.4070129394531
1A9B.pdb,pMHC_0095.pdb,139611.656,319.8529968261719
1A9B.pdb,pMHC_0078.pdb,139587.047,320.160888671875
1A9B.pdb,pMHC_0030.pdb,139737.703,320.1571044921875
1A9B.pdb,pMHC_0051.pdb,140413.922,321.0294189453125
1A9B.pdb,pMHC_0067.pdb,139959.875,319.9679260253906
1A9B.pdb,pMHC_0001.pdb,139308.391,319.95404052734375
1A9B.pdb,pMHC_0080.pdb,139259.875,319.393310546875
1A9B.pdb,pMHC_0015.pdb,139295.094,319.8734130859375
1A9B.pdb,pMHC_0020.pdb,139924.812,319.4339599609375
1A9B.pdb,pMHC_0071.pdb,139766.25,319.4807434082031
1A9B.pdb,pMHC_0027.pdb,139679.656,320.11376953125
1A9B.pdb,pMHC_0079.pdb,140132.5,319.527587890625
1A9B.pdb,pMHC_0090.pdb,139447.625,319.6637878417969
1A9B.pdb,pMHC_0085.pdb,140490.484,320.0101623535156
1A9B.pdb,pMHC_0066.pdb,139832.609,319.59271240234375
1A9B.pdb,pMHC_0021.pdb,140070.047,320.42913818359375
1A9B.pdb,pMHC_0049.pdb,139790.266,319.89337158203125
1A9B.pdb,pMHC_0099.pdb,139358.016,319.7263488769531
1A9B.pdb,pMHC_0039.pdb,139626.938,319.51190185546875
1A9B.pdb,pMHC_0024.pdb,139369.906,319.5635986328125
1A9B.pdb,pMHC_0017.pdb,139445.266,320.36553955078125
1A9B.pdb,pMHC_0047.pdb,139708.484,319.8802185058594
1A9B.pdb,pMHC_0068.pdb,139603.25,319.6402587890625
1A9B.pdb,pMHC_0041.pdb,140273.797,320.5122375488281
1A9B.pdb,pMHC_0009.pdb,139479.578,319.8574523925781
1A9B.pdb,pMHC_0063.pdb,139601.719,319.51007080078125
1A9B.pdb,pMHC_0007.pdb,139262.344,320.26226806640625
1A9B.pdb,pMHC_0076.pdb,139407.891,319.1802673339844
1A9B.pdb,pMHC_0028.pdb,139636.312,319.52374267578125
1AGB.pdb,pMHC_0087.pdb,132653.766,323.09332275390625
1AGB.pdb,pMHC_0084.pdb,132546.141,322.8401794433594
1AGB.pdb,pMHC_0050.pdb,132397.344,322.5499572753906
1AGB.pdb,pMHC_0019.pdb,132303.969,322.5973815917969
1AGB.pdb,pMHC_0016.pdb,132268.766,323.5451354980469
1AGB.pdb,pMHC_0018.pdb,132345.281,322.7799987792969
1AGB.pdb,pMHC_0045.pdb,132508.406,323.35931396484375
1AGB.pdb,pMHC_0089.pdb,132362.016,322.50885009765625
1AGB.pdb,pMHC_0029.pdb,132374.359,323.0765380859375
1AGB.pdb,pMHC_0000.pdb,132314.859,322.940185546875
1AGB.pdb,pMHC_0094.pdb,132508.297,322.21405029296875
1AGB.pdb,pMHC_0042.pdb,132461.203,322.61090087890625
1AGB.pdb,pMHC_0037.pdb,0.0,322.1695556640625
1AGB.pdb,pMHC_0065.pdb,132713.891,322.47113037109375
1AGB.pdb,pMHC_0096.pdb,132596.25,322.5628356933594
1AGB.pdb,pMHC_0004.pdb,132390.062,322.8395080566406
1AGB.pdb,pMHC_0013.pdb,132320.859,322.8282165527344
1AGB.pdb,pMHC_0023.pdb,132650.531,322.8654479980469
1AGB.pdb,pMHC_0035.pdb,132570.734,323.5943908691406
1AGB.pdb,pMHC_0008.pdb,131605.484,323.33074951171875
1AGB.pdb,pMHC_0011.pdb,132335.875,322.83514404296875
1AGB.pdb,pMHC_0025.pdb,132581.906,323.14459228515625
1AGB.pdb,pMHC_0044.pdb,132610.562,323.1921081542969
1AGB.pdb,pMHC_0088.pdb,133194.281,323.81109619140625
1AGB.pdb,pMHC_0002.pdb,132242.047,323.14935302734375
1AGB.pdb,pMHC_0081.pdb,132409.125,323.37176513671875
1AGB.pdb,pMHC_0055.pdb,132361.828,322.8230895996094
1AGB.pdb,pMHC_0075.pdb,133035.625,322.6048583984375
1AGB.pdb,pMHC_0033.pdb,132731.203,323.2096862792969
1AGB.pdb,pMHC_0046.pdb,132382.391,323.3431091308594
1AGB.pdb,pMHC_0097.pdb,132698.188,323.24200439453125
1AGB.pdb,pMHC_0057.pdb,133247.844,323.7402038574219
1AGB.pdb,pMHC_0036.pdb,132487.312,322.70233154296875
1AGB.pdb,pMHC_0010.pdb,132462.094,322.9644470214844
1AGB.pdb,pMHC_0058.pdb,132005.516,323.695068359375
1AGB.pdb,pMHC_0064.pdb,132520.812,322.84295654296875
1AGB.pdb,pMHC_0074.pdb,132893.375,322.6535949707031
1AGB.pdb,pMHC_0003.pdb,132343.078,322.7359619140625
1AGB.pdb,pMHC_0048.pdb,132405.672,322.1263732910156
1AGB.pdb,pMHC_0070.pdb,132475.484,322.8266906738281
1AGB.pdb,pMHC_0006.pdb,132391.125,322.7869567871094
1AGB.pdb,pMHC_0052.pdb,0.0,323.4203186035156
1AGB.pdb,pMHC_0032.pdb,132353.766,323.015380859375
1AGB.pdb,pMHC_0043.pdb,132430.172,322.1331787109375
1AGB.pdb,pMHC_0059.pdb,132445.125,322.62811279296875
1AGB.pdb,pMHC_0014.pdb,132114.516,322.5379943847656
1AGB.pdb,pMHC_0060.pdb,132671.594,324.5569763183594
1AGB.pdb,pMHC_0098.pdb,132607.891,322.564453125
1AGB.pdb,pMHC_0056.pdb,132724.203,322.5439453125
1AGB.pdb,pMHC_0062.pdb,0.0,323.48455810546875
1AGB.pdb,pMHC_0061.pdb,132030.0,323.2284240722656
1AGB.pdb,pMHC_0038.pdb,132162.562,323.0518798828125
1AGB.pdb,pMHC_0072.pdb,132628.969,322.9347229003906
1AGB.pdb,pMHC_0053.pdb,132589.812,322.611083984375
1AGB.pdb,pMHC_0005.pdb,132460.781,322.8589782714844
1AGB.pdb,pMHC_0040.pdb,132450.594,323.614501953125
1AGB.pdb,pMHC_0012.pdb,132422.203,323.6856994628906
1AGB.pdb,pMHC_0034.pdb,132449.578,323.0000915527344
1AGB.pdb,pMHC_0031.pdb,132610.859,322.5073547363281
1AGB.pdb,pMHC_0095.pdb,132468.438,323.4744567871094
1AGB.pdb,pMHC_0030.pdb,132750.312,323.98675537109375
1AGB.pdb,pMHC_0001.pdb,132450.906,323.2419128417969
1AGB.pdb,pMHC_0080.pdb,0.0,322.4344787597656
1AGB.pdb,pMHC_0015.pdb,132246.672,323.1483459472656
1AGB.pdb,pMHC_0020.pdb,132393.844,323.0635681152344
1AGB.pdb,pMHC_0071.pdb,132499.984,323.22320556640625
1AGB.pdb,pMHC_0027.pdb,132553.922,323.36639404296875
1AGB.pdb,pMHC_0079.pdb,132662.344,322.63116455078125
1AGB.pdb,pMHC_0090.pdb,132475.453,322.4934387207031
1AGB.pdb,pMHC_0085.pdb,132555.422,321.8171691894531
1AGB.pdb,pMHC_0066.pdb,132322.797,323.1764221191406
1AGB.pdb,pMHC_0021.pdb,132398.562,322.5326843261719
1AGB.pdb,pMHC_0049.pdb,132581.297,323.0072326660156
1AGB.pdb,pMHC_0099.pdb,132475.125,322.58001708984375
1AGB.pdb,pMHC_0039.pdb,132264.953,323.0561828613281
1AGB.pdb,pMHC_0024.pdb,132338.562,323.091796875
1AGB.pdb,pMHC_0017.pdb,132472.219,322.7219543457031
1AGB.pdb,pMHC_0047.pdb,132679.438,322.176025390625
1AGB.pdb,pMHC_0068.pdb,132548.188,322.8643798828125
1AGB.pdb,pMHC_0041.pdb,132839.578,323.5527648925781
1AGB.pdb,pMHC_0009.pdb,132400.125,323.3578796386719
1AGB.pdb,pMHC_0007.pdb,132253.234,322.7652587890625
1AGB.pdb,pMHC_0028.pdb,132446.266,322.25396728515625
1AGC.pdb,pMHC_0087.pdb,133072.547,322.2185974121094
1AGC.pdb,pMHC_0019.pdb,132450.281,322.28857421875
1AGC.pdb,pMHC_0091.pdb,132378.812,322.0547180175781
1AGC.pdb,pMHC_0016.pdb,132290.219,321.72698974609375
1AGC.pdb,pMHC_0018.pdb,132383.234,322.2890930175781
1AGC.pdb,pMHC_0089.pdb,132599.5,322.688720703125
1AGC.pdb,pMHC_0029.pdb,132743.359,323.8572082519531
1AGC.pdb,pMHC_0000.pdb,132536.469,322.4566345214844
1AGC.pdb,pMHC_0094.pdb,132749.188,322.959716796875
1AGC.pdb,pMHC_0042.pdb,132789.375,322.9878845214844
1AGC.pdb,pMHC_0037.pdb,132639.344,322.8447570800781
1AGC.pdb,pMHC_0022.pdb,132929.547,324.02764892578125
1AGC.pdb,pMHC_0065.pdb,132594.422,322.885986328125
1AGC.pdb,pMHC_0096.pdb,132880.672,324.498779296875
1AGC.pdb,pMHC_0073.pdb,0.0,323.3016662597656
1AGC.pdb,pMHC_0004.pdb,132240.953,321.9101257324219
1AGC.pdb,pMHC_0013.pdb,132529.938,322.252197265625
1AGC.pdb,pMHC_0023.pdb,132885.953,324.2995300292969
1AGC.pdb,pMHC_0026.pdb,132680.188,322.397216796875
1AGC.pdb,pMHC_0035.pdb,132590.578,322.47247314453125
1AGC.pdb,pMHC_0008.pdb,132410.672,321.739013671875
1AGC.pdb,pMHC_0011.pdb,132573.797,322.0892639160156
1AGC.pdb,pMHC_0054.pdb,132801.422,323.1570739746094
1AGC.pdb,pMHC_0025.pdb,133102.234,324.9551086425781
1AGC.pdb,pMHC_0044.pdb,132970.797,323.2930603027344
1AGC.pdb,pMHC_0002.pdb,132520.75,322.31365966796875
1AGC.pdb,pMHC_0055.pdb,133058.688,324.5713806152344
1AGC.pdb,pMHC_0033.pdb,132517.578,322.660400390625
1AGC.pdb,pMHC_0046.pdb,132766.25,323.3240966796875
1AGC.pdb,pMHC_0057.pdb,132325.219,322.11297607421875
1AGC.pdb,pMHC_0036.pdb,132857.562,324.1927490234375
1AGC.pdb,pMHC_0010.pdb,132483.094,322.208740234375
1AGC.pdb,pMHC_0003.pdb,132511.047,322.4752197265625
1AGC.pdb,pMHC_0048.pdb,132915.891,323.61236572265625
1AGC.pdb,pMHC_0070.pdb,132586.953,322.2955322265625
1AGC.pdb,pMHC_0006.pdb,132453.531,322.0683898925781
1AGC.pdb,pMHC_0052.pdb,133053.203,323.5696105957031
1AGC.pdb,pMHC_0032.pdb,132944.688,323.86700439453125
1AGC.pdb,pMHC_0043.pdb,132480.562,322.9808349609375
1AGC.pdb,pMHC_0014.pdb,132348.25,322.0139465332031
1AGC.pdb,pMHC_0086.pdb,132853.859,323.9136962890625
1AGC.pdb,pMHC_0093.pdb,132604.266,323.0611572265625
1AGC.pdb,pMHC_0098.pdb,132865.484,323.0370178222656
1AGC.pdb,pMHC_0056.pdb,133104.406,323.5569763183594
1AGC.pdb,pMHC_0061.pdb,132927.844,324.22900390625
1AGC.pdb,pMHC_0072.pdb,132739.469,322.5050354003906
1AGC.pdb,pMHC_0053.pdb,132755.578,322.78448486328125
1AGC.pdb,pMHC_0005.pdb,132439.469,322.35516357421875
1AGC.pdb,pMHC_0040.pdb,132658.5,322.8127136230469
1AGC.pdb,pMHC_0012.pdb,132506.156,322.0980224609375
1AGC.pdb,pMHC_0034.pdb,132305.406,321.84722900390625
1AGC.pdb,pMHC_0031.pdb,132761.688,322.69140625
1AGC.pdb,pMHC_0095.pdb,132764.328,323.1365051269531
1AGC.pdb,pMHC_0078.pdb,132966.578,323.3655700683594
1AGC.pdb,pMHC_0030.pdb,132984.969,323.68902587890625
1AGC.pdb,pMHC_0051.pdb,132802.781,323.7473449707031
1AGC.pdb,pMHC_0067.pdb,132898.438,322.57769775390625
1AGC.pdb,pMHC_0001.pdb,132556.922,322.38519287109375
1AGC.pdb,pMHC_0015.pdb,132382.703,322.0935363769531
1AGC.pdb,pMHC_0020.pdb,132881.922,323.57769775390625
1AGC.pdb,pMHC_0090.pdb,132324.047,322.3803405761719
1AGC.pdb,pMHC_0085.pdb,132929.625,324.00616455078125
1AGC.pdb,pMHC_0021.pdb,133123.125,942.9268798828125
1AGC.pdb,pMHC_0049.pdb,132832.516,323.0837707519531
1AGC.pdb,pMHC_0099.pdb,132864.75,324.30743408203125
1AGC.pdb,pMHC_0017.pdb,132551.0,322.21929931640625
1AGC.pdb,pMHC_0047.pdb,132725.0,950.2396240234375
1AGC.pdb,pMHC_0041.pdb,132811.516,324.1056823730469
1AGC.pdb,pMHC_0009.pdb,132372.188,322.17645263671875
1AGC.pdb,pMHC_0063.pdb,132482.062,322.58612060546875
1AGC.pdb,pMHC_0007.pdb,132484.703,322.40252685546875
1AGC.pdb,pMHC_0076.pdb,132763.781,323.31005859375
